Agència d'Avaluació de Tecnología i Recerca Mèdiques|Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Spain
Agència d'Avaluació de Tecnologia i Recerca Mèdiques (AATRM)|Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Spain
Agència d'Avaluació de Tecnologies i Recerca Mèdica (AATRM) de Catalunya|Agència d'Avaluació de Tecnologia i Recerca Mèdiques|Spain
Agência de Defesa Agropecuária do Estado do Ceará|Agência de Defesa Agropecuária do Estado do Ceará|Brazil
Agência de Defesa e Fiscalização de Pernambuco|Agência de Defesa e Fiscalização de Pernambuco|Brazil
Agencia de Evaluación de Tecnología Sanitaria de Andalucía|Agencia de Evaluación de Tecnologías Sanitarias de Andalucía|Spain
Agencia de Evaluacion de Tecnologias Sanitarias de Andalucia|Agencia de Evaluación de Tecnologías Sanitarias de Andalucía|Spain
Agencia de Evaluación de Tecnologías Sanitarias de Andalucia|Agencia de Evaluación de Tecnologías Sanitarias de Andalucía|Spain
Agencia de Evaluación de Tecnologías Sanitarias de Andalucía|Agencia de Evaluación de Tecnologías Sanitarias de Andalucía|Spain
Agencia de Evaluación de Tecnologías Sanitarias de Andalucía (AETSA)|Agencia de Evaluación de Tecnologías Sanitarias de Andalucía|Spain
Agencia de Evaluación de Tecnologías Sanitarias de Andalucía (CC-AETSA)|Agencia de Evaluación de Tecnologías Sanitarias de Andalucía|Spain
Agência Nacional de Compras Publicas|Agência Nacional de Compras Públicas|Brazil
Agência Nacional de Compras Públicas|Agência Nacional de Compras Públicas|Brazil
Agencia Nacional de Pomoción Científica y Tecnológica|Agencia Nacional de Promoción Científica y Tecnológica|Argentina
Agencia Nacional de Promoción Científica y técnica|Agencia Nacional de Promoción Científica y Tecnológica|Argentina
Agencia Nacional de Promocion Cientifica y Tecnologica|Agencia Nacional de Promoción Científica y Tecnológica|Argentina
Agencia Nacional de Promoción Científica y Tecnológica|Agencia Nacional de Promoción Científica y Tecnológica|Argentina
Agencia Nacional de Promoción Científica y Tecnológica (ANPCYT)|Agencia Nacional de Promoción Científica y Tecnológica|Argentina
Agência Paulista de Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Desenvolvimento de Tecnologia dos Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia Agropecuária|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia Agropecuária (APTA)|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia de Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia de Agronegócios Presidente Prudente,SP|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia do Agronegócio|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia do Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agonegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegocios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos -Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios (APTA Regional/SAA)|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios (APTA)|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios Centro Leste|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios de Brotas|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios Piracicaba|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios Regional|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios Regional Alta Mogiana|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios Regional Noroeste Paulista|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios, Pólo|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios, Polo Centro-Oeste|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios, Pólo Regional do Centro Norte|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia dos Agronegócios/APTA|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia e Agronegócio|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia e Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologia e dos Agronegócios, Pesca e Aquicultura|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agencia Paulista de Tecnologia em Agronegócio Regional Centro-Sul|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista de Tecnologias do Agronegócio|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista do Agronegócio|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista dos Agronegócios|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Paulista Tecnologia Agronegócio|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agência Reguladora de Serviços Públicos Delegados do Estado Ceará|Agência Reguladora de Serviços Públicos Delegados do Estado Ceará|Brazil
Agência Reguladora de Serviços Públicos do Estado do Ceará|Agência Reguladora de Serviços Públicos Delegados do Estado Ceará|Brazil
Agencia Valenciana de la Salud|Agència Valenciana de Salut|Spain
Agencia Valenciana de Salud|Agència Valenciana de Salut|Spain
Agencia Valenciana de Salud (AVS)|Agència Valenciana de Salut|Spain
Agència Valenciana de Salut|Agència Valenciana de Salut|Spain
Agència Valenciana de Salut (AVS)|Agència Valenciana de Salut|Spain
Aggeu Magalhães Research Center - Fiocruz|Fundação Oswaldo Cruz|Brazil
Agostinho Neto University|Universidade Agostinho Neto|Angola
Agrarian University of Havana|Universidad Agraria de La Habana|Cuba
Agrarian University of Havana (UNAH)|Universidad Agraria de La Habana|Cuba
Agrarian University of Havana Fructuoso Rodríguez Pérez|Universidad Agraria de La Habana|Cuba
Agrichem do Brasil|Agrichem do Brasil|Brazil
Agrichem do Brasil LTDA|Agrichem do Brasil|Brazil
Agricultura da Universidade de São Paulo|Universidade de São Paulo|Brazil
Agricultural University of Athens|Agricultural University of Athens|Greece
Agricultural University of Havana|Universidad Agraria de La Habana|Cuba
Agronegócios do Nordeste Paulista|Agência Paulista de Tecnologia dos Agronegócios|Brazil
Agronomia, Ãrea de Sistema de Produção, FEIS - UNESP|Universidade Estadual Paulista|Brazil
Agronomia, Área de Sistema de Produção, FEIS - UNESP|Universidade Estadual Paulista|Brazil
Agrônomo, Professor Doutor em Biologia Vegetal - Universidade Federal de Lavras|Universidade Federal de Lavras|Brazil
AgropecuariasUniversidad Nacional de Colombia-Sede Medellín|Universidad Nacional de Colombia|Colombia
Ahlia University|Ahlia University|Bahrain
AI DuPont Hospital for Children|Alfred I. duPont Hospital for Children|USA
Ain shamas University|Ain shamas University|Egypt
Ain Shams University|Ain shamas University|Egypt
Ainshamas University|Ain shamas University|Egypt
Ain-Shams University|Ain shamas University|Egypt
Ain-Shams University, Heliopolis|Ain shamas University|Egypt
Aix Marseilles Université|Université d'Aix-Marseille|France
Aix-Marseille Universite|Université d'Aix-Marseille|France
Aix-Marseille Université|Université d'Aix-Marseille|France
Aix--Marseille Université|Université d'Aix-Marseille|France
Aix-Marseille Université Spectropôle|Université d'Aix-Marseille|France
Akdeniz Üniversitesi|Akdeniz Üniversitesi|Turkey
Alagoas Federal Institute of Education|Instituto Federal de Alagoas|Brazil
Alagoas State University|Universidade Estadual da Alagoas|Brazil
Albert Einstein College of Medicina, Nueva York|Albert Einstein College of Medicine|USA
Albert Einstein College of Medicine|Albert Einstein College of Medicine|USA
Albert Einstein College of Medicine and Montefiore Medical Center|Albert Einstein College of Medicine|USA
Albert Einstein College of Medicine Bronx|Albert Einstein College of Medicine|USA
Albert Einstein College of Medicine/Montefiore Medical Center|Albert Einstein College of Medicine|USA
Albert Einstein Healthcare Network|Albert Einstein College of Medicine|USA
Albert Einstein Hospital|Hospital Israelita Albert Einstein|Brazil
Albert Einstein Jewich Hospital|Hospital Israelita Albert Einstein|Brazil
Albert Einstein Jewish Institute for Education and Research|Hospital Israelita Albert Einstein|Brazil
Albert Einstein Medical Center|Hospital Israelita Albert Einstein|Brazil
Albert Einstein Research and Teaching Institute|Hospital Israelita Albert Einstein|Brazil
Albert Einstein School of Medicine|Hospital Israelita Albert Einstein|Brazil
Albert Universidade Federal de Goiás|Universidade Federal de Goiás|Brazil
Alexandria Faculty of Medicine|Alexandria Faculty of Medicine|Egypt
Alfred I. duPont Hospital for Children|Alfred I. duPont Hospital for Children|USA
Algerian Society of Toxicology|Société Algérienne de Toxicologie|Algeria
Aliança Saúde Hospitais Cajuru-Santa Casa de Curitiba|Santa Casa de Misericórdia de Curitiba|Brazil
Al-Jabal Al Gharbi University|Al-Jabal Al Gharbi University|Lybia
Al-Jabal Al-Gharbi University|Al-Jabal Al Gharbi University|Lybia
Al-Jabal Al-Gharby University|Al-Jabal Al Gharbi University|Lybia
"Allameh Tabataba&#8217;i University"|Allameh Tabatabaei University|Iran
Allameh Tabatabaei University|Allameh Tabatabaei University|Iran
Allameh Tabatabai University|Allameh Tabatabaei University|Iran
Allameh Tabataba'i University|Allameh Tabatabaei University|Iran
ALTERRA - Green World Research|Alterra Research Institute|Netherlands
Alterra Institute|Alterra Research Institute|Netherlands
"Alumna del curso de graduaci&#243;n en Enfermer&#237;a, Universidade Federal do Cear&#225;, Brasil. Becario del Conselho Nacional de Desenvolvimento Cient&#237;fico e Tecnol&#243;gico (CNPq)"| Universidade Federal do Ceará|Brazil
Alumno de Doctorado en Patología Oral - UFRN.|Universidade Federal do Rio Grande do Norte|Brazil
Aluna de doutoramento do Depto. de Clínica Médica da Faculdade de Ciências Médicas da Universidade Estadual de Campinas|Universidade Estadual de Campinas|Brazil
Aluna de Pós-Graduação em Zootecnia da Universidade Estadual de Maringá|Universidade Estadual de Maringá|Brazil
"Aluna do curso de gradua&#231;&#227;o em Enfermagem, Universidade Federal do Cear&#225;, Brasil. Bolsista do Conselho Nacional de Desenvolvimento Cient&#237;fico e Tecnol&#243;gico (CNPq)"| Universidade Federal do Ceará|Brazil
"Alunos do Curso de Medicina da Pontif&#237;cia Universidade Cat&#243;lica do Paran&#225; (PUCPR)"|Pontifícia Universidade Católica do Paraná|Brazil
Amazon State University|Universidade do Estado do Amazonas|Brazil
Amazonas Federal University|Universidade Federal do Amazonas|Brazil
Amazonas Foundation of Tropical Medicine|Fundação de Medicina Tropical do Amazonas|Brazil
Amazonas Tropical Medicine Foundation|Fundação de Medicina Tropical do Amazonas|Brazil
Ambiental pela Universidade Federal do Rio de Janeiro| Universidade Federal do Rio de Janeiro|Brazil
Ambulatório de Ginecologia Universidade Federal do Pará|Universidade Federal do Pará|Brazil
Ambulatório Geral do Instituto da Criança - HCFMUSP|Universidade de São Paulo|Brazil
Amir Kabir University of Technology (Tehran Polytechnic)|Amirkabir University of Technology|Iran
Amirkabir University|Amirkabir University of Technology|Iran
Amirkabir University of Tech|Amirkabir University of Technology|Iran
Amirkabir University of Technolog|Amirkabir University of Technology|Iran
Amirkabir University of Technology|Amirkabir University of Technology|Iran
Amirkabir University of Technology (Tehran Polytechnic)|Amirkabir University of Technology|Iran
Amirkabir University of Technology P. O.|Amirkabir University of Technology|Iran
Amirkabir Universityof Technology|Amirkabir University of Technology|Iran
Amsterdam University|University of Amsterdam|Netherlands
Analista de Políticas Públicas do Instituto de Pesquisa e Estratégia Econômica do Ceará|Instituto de Pesquisa e Estratégia Econômica do Ceará|Brazil
Fondo de Población de las Naciones Unidas|Fondo de Población de las Naciones Unidas|Mexico
Anhanguera|Universidade Anhanguera|Brazil
Anhanguera Colleges of the Piracicaba|Universidade Anhanguera|Brazil
Anhanguera Educacional Campus de Leme|Universidade Anhanguera|Brazil
Anhanguera Educacional Campus de Limeira|Universidade Anhanguera|Brazil
Anhanguera Educacional Campus de Rio Claro|Universidade Anhanguera|Brazil
Anhanguera Educacional de Brasília|Universidade Anhanguera|Brazil
Anhanguera Educacional de Pelotas|Universidade Anhanguera|Brazil
Anhanguera Education Center|Universidade Anhanguera|Brazil
Anhanguera Faculty of Brasília|Universidade Anhanguera|Brazil
Anhanguera UNIDERP|Universidade Anhanguera|Brazil
Anhanguera-Uniban University|Universidade Anhanguera|Brazil
Anhembi Morumbi/Laureate Universities|Universidade Anhembi-Morumbi|Brazil
Anhembi-Morumbi|Universidade Anhembi-Morumbi|Brazil
AnhembiMorumbi colleges|Universidade Anhembi-Morumbi|Brazil
Anhembi-Morumbi University|Universidade Anhembi-Morumbi|Brazil
Anhui University|Anhui University|People's Republic of China
Anhui University of Science and Technology|Anhui University|People's Republic of China
Anhui University of Technology|Anhui University|People's Republic of China
Animal Health Service|GD Animal Health Service|Netherlands
Animal Sciences Group|Wageningen Institute of Animal Sciences|Netherlands
Animal Sciences Group of Wageningen UR|Wageningen Institute of Animal Sciences|Netherlands
Ankara University|Ankara University|Turkey
Ankara University Faculty of Medicine|Ankara University|Turkey
Ankara University Hospital|Ankara University|Turkey
Ankara University School of Medicine|Ankara University|Turkey
Ankara University-Cebeci|Ankara University|Turkey
Ankara University-Sihhiye|Ankara University|Turkey
ANLIS  Dr. Carlos G. Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
ANLIS «Dr. Carlos G. Malbrán»|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
ANLIS C. G. Malbrán|Administración Nacional de Laboratorios e Institutos de Salud (ANLIS) “Dr. Carlos G. Malbrán”|Argentina
